"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;s__bromii","Group",0.123558574302011,0.746838247966713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.460803059273423,-1.11777780001698
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum","Group",0.344944159151467,0.877860830773869,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",3.06569343065693,1.6162134347056
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__","Group",0.0266328104410296,0.456562464703365,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.87788922808548,0.90911196458644
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium];s__biforme","Group",0.663659198445109,0.959507274860398,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.7001287001287,-0.514307947157371
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri","Group",0.136199819571599,0.746838247966713,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.370434782608696,-1.4327085256059
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia;s__","Group",0.430807874291723,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.347826086956522,-1.52356195605701
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__","Group",0.216256515649887,0.804580123312264,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",3.37892376681614,1.75656380167752
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis","Group",0.0387046422259607,0.541869306591633,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.93847487001733,0.954922032413636
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae","Group",0.0183936533898581,0.456562464703365,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",5.68421052631579,2.50695998871988
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;s__formicigenerans","Group",0.518595379834633,0.947408140089187,"UC_before","Wilcoxon rank sum exact test","UC_before vs UC_after",1.11757501530925,0.160371673093047
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;__","Group",0.503973078362552,0.947408140089187,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.469548133595285,-1.09065503809495
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__obeum","Group",0.673498955937407,0.962141365624867,"UC_after","Wilcoxon rank sum exact test","UC_before vs UC_after",0.608267716535433,-0.717221658867791
